station,latitude,longitude,river,RPI,DO(Electrode),BOD5,SS,NH3-N,pH,temperature
Upper Huang River Bridge,25.17920888888889,121.58227305555555,Huang River,1.00,7.8,1.0,8.4,0.11,2.37,0
Huang River Bridge,25.226952999999998,121.630624,Huang River,3.50,7.3,10.8,97.1,0.19,4.00,0
No. 40 Bridge,25.227356999999998,121.630912,Huang River,4.50,6.6,12.7,131,0.17,4.62,0
Jhongshou Bridge.,25.051144,121.500209,Danshuei River,6.25,4.6,5.0,167,1.41,7.42,0
Chongyang Bridge,25.08417397222222,121.50279694444444,Danshuei River,4.00,3.3,2.7,35.6,1.47,7.22,0
Gwandu Bridge,25.124816944444444,121.45723694444445,Danshuei River,5.00,1.7,2.2,47.0,1.56,7.52,0
Danshuei River Mouth,25.170901111111114,121.422745,Danshuei River,3.25,3.7,<1.0,37.8,0.56,7.64,0
Dahan Bridge,24.88467397222222,121.283827,Danshuei River,2.25,8.4,<1.0,57.2,0.04,7.77,0
Bansin Intake,24.930705,121.341425,Danshuei River,1.50,7.6,1.4,28.9,0.04,8.02,0
Sanying Bridge,24.944761111111113,121.35322305555555,Danshuei River,1.50,8.1,1.5,24.2,0.09,7.26,0
Fuchou Bridge,24.995073055555558,121.43624611111112,Danshuei River,2.25,6.9,1.5,57.2,0.47,7.64,0
Cinhi Bridge,25.03286611111111,121.45462,Danshuei River,4.25,6.2,2.5,130,0.95,7.24,0
Hochih Weir,24.824188888888887,121.251659,Danshuei River,1.50,5.9,<1.0,20.0,0.01,7.26,0
Hocungein Intake,24.96822222222222,121.40461111111112,Danshuei River,1.50,8.1,1.1,32.6,0.36,7.87,0
SingSin Bridge,24.89563888888889,121.37377694444444,Danshuei River,1.00,8.8,<1.0,3.8,0.03,8.23,0
Sansia Bridge,24.934632,121.374865,Danshuei River,1.00,8.0,1.9,12.6,0.36,7.87,0
Beetan Bridge,24.96092388888889,121.535815,Danshuei River,1.00,8.7,<1.0,5.2,0.04,7.28,0
Jhongjheng Bridge,25.021306944444444,121.51423305555555,Danshuei River,1.50,6.6,2.0,21.3,0.37,7.35,0
Huajhong Bridge,25.010213055555557,121.49627,Danshuei River,2.00,6.0,2.7,19.5,0.51,7.08,0
Huajhian Bridge,25.034898000000002,121.483509,Danshuei River,2.50,4.8,2.1,29.0,0.92,7.24,0
Chiuche Weir,24.91233111111111,121.547495,Danshuei River,1.00,8.4,1.0,4.7,0.02,7.35,0
